Island,Year,FieldPeriodID,MeanInsects
CN,1990,12,2.652442818
CN,1996,21,5.504502192
CN,1997,22,6.349060431
CN,1998,23,5.837896569
CN,1998,25,3.409097045
CN,1999,26,1.515505496
CN,1999,28,5.123570615
CN,2003,30,3.656860326
CN,2004,34,3.188410043
CN,2005,35,5.658624039
CN,2005,37,3.849363578
CN,2006,75,3.303207678
CN,2007,77,4.361376193
CN,2007,82,2.855332926
CN,2008,85,1.876916148
CN,2008,87,2.779036475
CN,2009,90,4.321269229
CN,2009,92,4.404908722
CN,2010,103,2.862913561
CN,2010,104,3.884601828
CN,2011,105,3.032081704
CN,2011,110,2.09698994
CN,2012,116,4.048605441
CN,2013,118,4.830289309
CN,2013,122,3.248186294
CN,2014,124,5.478684885
CN,2014,125,4.287076423
CN,2015,139,3.045608346